community,shape_area,shape_len,AREAID,response_r,accept_r,rev_rating,price_pp,room_type,num_spots,poverty,crowded,dependency,without_hs,unemployed,income_pc,harship_in,num_crimes,num_theft,population
SOUTH SHORE,81812716.4,44249.64612,43,96.684211,95.166667,88,81.595238,1.761905,21,31.1,2.8,35.7,14,20,19398,55,17466,2783,49767
CHATHAM,82320670.31,42006.94501,44,100,100,92.5,35,2,2,27.8,3.3,40.3,14.5,24,18881,60,12170,2732,31028
AVALON PARK,34852737.74,27630.82253,45,,,,,,0,17.2,1.4,39.3,10.6,21.1,24454,41,2728,457,10185
SOUTH CHICAGO,93272185.01,52435.97943,46,100,100,80,28.8,2.6,5,29.8,4.7,41.1,26.6,19.7,16579,75,9951,1378,31198
BURNSIDE,16995983.27,18137.94425,47,,,,95,2,1,33,6.8,42.7,19.3,18.6,12515,79,758,118,2916
CALUMET HEIGHTS,48826241.56,32925.36587,48,100,0,90,70,2,1,11.5,2.1,44,11,20,28887,38,2888,555,13812
ROSELAND,134313706.7,56632.79543,49,100,100,91,30,2,1,19.8,2.5,41.2,16.9,20.3,17949,52,13383,1979,44619
NORTH CENTER,57054167.85,31391.66975,5,95.552083,84.75,94.160494,103.812091,1.372549,102,7.5,0.3,26.2,4.5,5.2,57123,6,2811,995,31867
PULLMAN,59001555.6,35572.06951,50,98,98.4,96.5,53.5,1.333333,6,21.6,1.5,38.6,13.1,22.8,20588,51,2239,495,7325
SOUTH DEERING,303797059.7,80389.8718,51,100,86,93,83.666667,1.5,2,29.2,4,39.5,21,16.3,14685,65,3874,797,15109
EAST SIDE,83241728.05,52274.19285,52,,,,,,0,19.2,6.8,42.8,31.9,12.1,17104,64,2707,424,23042
WEST PULLMAN,99365198.08,50023.843,53,,,,,,0,25.9,3.3,42.1,20.5,19.4,16563,62,7977,1147,29651
RIVERDALE,98389497.41,46455.44086,54,,,,,,0,56.5,5.8,51.5,27.5,34.6,8201,98,2476,254,6482
HEGEWISCH,145965741.4,73692.38213,55,100,75,87,83.75,1,2,17.1,3.3,42.9,19.2,9.6,22677,44,1098,221,9426
GARFIELD RIDGE,117890778.4,60080.44797,56,100,60,100,50,2,1,8.8,2.6,38.1,19.3,11.3,26353,32,3888,885,34513
ARCHER HEIGHTS,55922505.72,31880.02103,57,100,100,92.333333,35,2,3,14.1,8.5,39.2,35.9,16.5,16134,67,1902,442,13393
BRIGHTON PARK,75892790.31,36537.13431,58,82.333333,97.333333,88,51.666667,2,3,23.6,14.4,39.3,45.1,13.9,13089,84,5406,771,45368
MCKINLEY PARK,39431799.65,26014.09684,59,100,100,93.25,61.733333,1.4,5,18.7,7.2,35.6,32.9,13.4,16954,61,2139,539,15612
LAKE VIEW,87214799.27,51973.09687,6,91.744917,85.661654,95.073913,121.037288,1.400657,609,11.4,1.1,17,2.6,4.7,60058,5,11401,4296,94368
BRIDGEPORT,58291519.28,32732.71833,60,94.636364,86.414634,92.382353,70.756028,1.553191,47,18.9,4.5,31.3,22.2,13.7,22694,43,3278,765,31977
NEW CITY,134636963.3,48133.59596,61,100,96,96,61,1.666667,3,29,11.9,38.9,41.5,23,12765,91,9885,1701,44377
WEST ELSDON,32711091.43,26229.6956,62,95,96.5,98,71.5,1.5,2,15.6,11.1,37.7,37,16.7,15754,69,2118,463,18109
GAGE PARK,61284896.11,32294.19591,63,100,92.5,91.375,23.59375,2.125,8,23.4,15.8,38.8,51.5,18.2,12171,93,4766,825,39894
CLEARING,71145192.38,45363.28617,64,,,,,,0,8.9,2.7,37.6,18.8,9.5,25113,29,1926,377,23139
WEST LAWN,82315301.68,41934.49013,65,100,100,96.666667,20.333333,2.333333,3,14.9,5.8,39.6,33.6,9.6,16907,56,4214,1265,33355
CHICAGO LAWN,98279465.12,40073.09984,66,,,,,,0,27.9,7.6,40.6,31.2,17.1,13231,80,12142,1812,55628
WEST ENGLEWOOD,87947691.95,40195.20331,67,100,96,88.272727,14,3,11,34.4,4.8,40.7,26.3,35.9,11317,89,14656,1820,35505
ENGLEWOOD,85652323.08,42316.8443,68,100,96,85.777778,16.194444,2.888889,9,46.6,3.8,42.5,28.5,28,11888,94,13763,1748,30654
GREATER GRAND CROSSING,98853167.71,54645.3303,69,93.333333,100,86.5,70,2,3,29.6,3.6,41,16.5,23,17285,66,13341,2098,32602
LINCOLN PARK,88316400.47,49478.42777,7,90.977778,83.175896,93.223368,149.147253,1.343575,358,12.3,0.8,21.5,3.6,5.1,71551,2,7793,3646,64116
ASHBURN,135460337.2,54818.15463,70,75,100,,155,1.5,2,10.4,4,36.9,17.7,11.7,23482,37,4894,1022,41081
AUBURN GRESHAM,105065353.6,46757.72172,71,100,98,96.5,52.5,2,3,27.6,4,41.9,18.5,28.3,15528,74,15334,2265,48743
BEVERLY,88779363.94,44591.4851,72,95,78.833333,89.666667,91.714286,1.571429,7,5.1,0.9,40.5,3.7,8,39523,12,1912,571,20034
WASHINGTON HEIGHTS,79635752.88,42222.59816,73,,,,,,0,16.9,1.1,42.6,13.7,20.8,19713,48,6378,1076,26493
MOUNT GREENWOOD,75584290.02,48665.13054,74,,,,,,0,3.4,1,36.8,4.3,8.7,34381,16,1233,326,19093
MORGAN PARK,91877340.7,46396.41936,75,85.5,96.666667,97,67.933333,1,5,13.2,0.8,40.3,10.8,15,27149,30,3998,912,22544
OHARE,371835607.7,173625.9847,76,83.5,100,83,38.5,2.5,2,15.4,3.6,30.3,10.9,7.1,25828,24,3423,1011,12756
EDGEWATER,48449990.84,31004.83095,77,94.42953,85.925676,94.540323,77.19951,1.582353,170,18.2,4.1,23.8,9.7,9.2,33385,19,4559,1409,56521
EDISON PARK,31636313.79,25937.22684,9,100,95,91,25,1,1,3.3,1.1,35.3,7.4,6.5,40959,8,537,104,11187
