X,Y
-87.61607391,41.82863561
-87.6091737,41.8411602
-87.61242284,41.83698137
-87.61667703,41.82617601
-87.62619233,41.84431697
-87.61375552,41.8375234
-87.61830085,41.83200767
-87.62475845,41.83297815
-87.61438286,41.83657933
-87.61158117,41.84180316
-87.62029919,41.84063231
-87.6274762,41.83414853
-87.62584671,41.83802407
-87.61679116,41.84464781
-87.61095359,41.84002657
-87.60546508,41.83569
-87.61225671,41.8441881
-87.61563379,41.8370571
-87.62398321,41.83613721
-87.61561779,41.82649101
-87.61816229,41.84151456
-87.62800885,41.8393722
-87.61436931,41.83550114
-87.60742008,41.83502648
-87.60991242,41.83424001
-87.61778879,41.82600391
-87.62062784,41.84121635
-87.62545732,41.83043467
-87.60982813,41.84014647
-87.61746867,41.83290551
-87.61574345,41.83314298
-87.60637154,41.8359745
-87.62257601,41.84109681
-87.62175805,41.82599865
-87.62070622,41.83400213
-87.61213995,41.84430839
-87.6191531,41.83809631
-87.60645734,41.83259457
-87.61902282,41.83141475
-87.61891055,41.84106451
-87.6235304,41.83304593
-87.62201706,41.83508513
-87.61930278,41.82417352
-87.6183947,41.82492052
-87.61123353,41.83140093
-87.61664669,41.83923251
-87.62879904,41.82683236
-87.62653483,41.83021115
-87.62904225,41.83407663
-87.61711466,41.83425548
-87.61448955,41.82738393
-87.62963207,41.84128112
-87.62430276,41.82382391
-87.62952902,41.84382019
-87.62538523,41.82823574
-87.62337708,41.83733149
-87.62093333,41.83174671
-87.62659111,41.83025328
-87.620634,41.82923983
-87.62854482,41.83244416
-87.62341874,41.84390736
-87.62966431,41.84101944
-87.6185236,41.84460457
-87.61773216,41.83317681
-87.60632819,41.83128363
-87.61164723,41.83406967
-87.61903283,41.84503472
-87.62733225,41.83776102
-87.61812831,41.82741073
-87.61585785,41.84357278
-87.61714713,41.84161696
-87.60834239,41.8412161
-87.60860946,41.84269983
-87.62714736,41.83348242
-87.61873476,41.84174243
-87.61201761,41.84491082
-87.61794866,41.84540683
-87.61496658,41.83108401
-87.62019413,41.84426184
-87.62116916,41.84405931
-87.61214811,41.8313448
-87.61134874,41.84201892
-87.60857115,41.83184172
-87.62384258,41.84397937
-87.62191681,41.82920034
-87.62804536,41.82629458
-87.61226703,41.82835762
-87.62120706,41.83044857
-87.62842644,41.82816194
-87.61111361,41.84229454
-87.62274176,41.83744634
-87.61695667,41.83322882
-87.62587464,41.83963894
-87.61835582,41.82847965
-87.6225518,41.83126681
-87.6219942,41.83901156
-87.61261486,41.84050259
-87.6172516,41.82959046
-87.61742319,41.83456043
-87.61664848,41.84205009
-87.62289911,41.83856314
-87.62203607,41.83715028
-87.6140238,41.82778081
-87.62113947,41.82627634
-87.62638222,41.82721157
-87.61168503,41.83064154
-87.6216046,41.82718235
-87.61798312,41.8430843
-87.62899282,41.84260338
-87.61986498,41.8321646
-87.62219937,41.84078622
-87.62808035,41.84101588
-87.62580675,41.82457309
-87.62024421,41.83197828
-87.62092151,41.83738128
-87.60307767,41.817521
-87.60147518,41.81810099
-87.60056303,41.82562119
-87.60390975,41.82379822
-87.59513006,41.81915959
-87.60724717,41.8300047
-87.59794265,41.82418431
-87.60607627,41.82941373
-87.61034294,41.82744565
-87.60434082,41.81992331
-87.60359453,41.81899688
-87.60863966,41.82908131
-87.60016223,41.82256255
-87.6049243,41.82554564
-87.61179606,41.82519995
-87.60095899,41.82660023
-87.60211226,41.82782245
-87.61002069,41.82415329
-87.60010228,41.81804943
-87.60500548,41.82606753
-87.61084421,41.82679543
-87.63058995,41.79654386
-87.63477277,41.80985376
-87.63276962,41.8015376
-87.63096494,41.81988482
-87.6294759,41.8067968
-87.63381361,41.82311991
-87.63114898,41.82345618
-87.62978565,41.79917244
-87.63356599,41.81418776
-87.63358497,41.80274688
-87.63191457,41.79815417
-87.63520634,41.81177265
-87.63160672,41.79893215
-87.63380138,41.81007564
-87.62993691,41.8034751
-87.63448896,41.80742724
-87.63199635,41.80165701
-87.62940436,41.8186761
-87.6350049,41.80195951
-87.63242424,41.79639269
-87.63615078,41.81384292
-87.63324189,41.814206
-87.63362885,41.79611051
-87.62964712,41.82248648
-87.63406423,41.82062325
-87.63364504,41.79501632
-87.63017003,41.81703446
-87.63531032,41.81521386
-87.62558157,41.81176801
-87.62806947,41.81667188
-87.61516448,41.80966586
-87.60744436,41.81978903
-87.62478615,41.81152292
-87.61450839,41.80848071
-87.61560517,41.81082598
-87.62274107,41.80849844
-87.62151481,41.80692262
-87.61106192,41.81482484
-87.62762205,41.81607541
-87.62294542,41.81411473
-87.61018549,41.81093222
-87.60854138,41.82181015
-87.61937659,41.82074665
-87.62466049,41.81400912
-87.61142765,41.81046532
-87.62452628,41.80928072
-87.62453264,41.81179169
-87.6254755,41.82056676
-87.62106868,41.81636801
-87.62522222,41.81353201
-87.61081097,41.8167778
-87.6087283,41.81801059
-87.61987539,41.82326727
-87.61513435,41.80263177
-87.61837673,41.80812263
-87.60909333,41.80562026
-87.62009984,41.81396518
-87.61852757,41.81115078
-87.61760176,41.82154663
-87.61479576,41.81484578
-87.61062884,41.80847195
-87.62052043,41.81754134
-87.61812293,41.81385929
-87.62812495,41.80284122
-87.62619387,41.80817268
-87.61499385,41.81986909
-87.6133775,41.80485329
-87.62747976,41.81584648
-87.62873448,41.80430128
-87.61595436,41.81680084
-87.61190088,41.82188509
-87.6216849,41.82188916
-87.62502243,41.80719691
-87.61498094,41.80474378
-87.6267958,41.81349859
-87.6121476,41.80320444
-87.61942168,41.80523059
-87.61262834,41.8217947
-87.61342098,41.81676499
-87.6127847,41.815181
-87.61389407,41.80505575
-87.62473659,41.81164191
-87.62718239,41.82362671
-87.61813832,41.80665579
-87.61447223,41.81262997
-87.62767747,41.80599142
-87.62001542,41.81458969
-87.61085265,41.80447812
-87.60766563,41.82373237
-87.60727613,41.82210368
-87.60712362,41.81269539
-87.61908473,41.81154025
-87.61203372,41.82309618
-87.60988739,41.82178073
-87.61946406,41.81690823
-87.61975012,41.8167923
-87.61288807,41.80502825
-87.61774099,41.80456923
-87.61873161,41.82164006
-87.62473032,41.81116385
-87.61204484,41.80910359
-87.61561886,41.82126523
-87.62848785,41.81475451
-87.61110647,41.80907808
-87.62009974,41.81359078
-87.61906829,41.81756214
-87.61931552,41.80690451
-87.61196311,41.8138787
-87.60955529,41.80373368
-87.60886901,41.82276946
-87.6259141,41.80649297
-87.60771736,41.82042222
-87.62680248,41.80783896
-87.62025425,41.80441903
-87.61108091,41.80238844
-87.61464625,41.80546438
-87.61878893,41.81452591
-87.61621098,41.81207413
-87.62062303,41.81977663
-87.62894458,41.80734757
-87.60928092,41.81230458
-87.6161681,41.82086221
-87.61620039,41.82276126
-87.62841431,41.8173038
-87.60753207,41.82353609
-87.61792426,41.81444904
-87.61764636,41.8192166
-87.61733436,41.81909511
-87.61210462,41.80880135
-87.61912033,41.81533212
-87.61770202,41.81122936
-87.60792147,41.82271816
-87.62617153,41.80642006
-87.60992566,41.82216928
-87.61310157,41.80237835
-87.60898821,41.80307589
-87.62607907,41.80916588
-87.62484285,41.82198204
-87.6097447,41.81421392
-87.61495199,41.80303951
-87.62022707,41.81010835
-87.6174136,41.81558878
-87.61742402,41.80417937
-87.6114845,41.81291766
-87.62272566,41.80808195
-87.61803184,41.82131067
-87.62086033,41.81026913
-87.62887676,41.81255821
-87.61556443,41.81986662
-87.61859463,41.81902647
-87.61546642,41.81016384
-87.62858429,41.80772841
-87.60954393,41.81230446
-87.62833288,41.80304125
-87.62406333,41.8097434
-87.62147582,41.8191643
-87.62401578,41.82209786
-87.62895577,41.81341135
-87.61475667,41.81891333
-87.6179427,41.82161726
-87.620649,41.80389009
-87.61536777,41.80420146
-87.60562846,41.81482337
-87.58774982,41.80473964
-87.59639178,41.8112736
-87.60028351,41.8040839
-87.59619959,41.80378313
-87.59557913,41.80527812
-87.59058641,41.81104016
-87.58956955,41.80247025
-87.58995428,41.80876802
-87.59841993,41.80516542
-87.60459265,41.81307961
-87.59738393,41.80694206
-87.58911895,41.80811104
-87.59910455,41.81436359
-87.59223832,41.80796853
-87.59505208,41.80486617
-87.58835402,41.81108363
-87.59242036,41.8102016
-87.58978282,41.80780747
-87.58671216,41.8095063
-87.60146051,41.8078857
-87.60512389,41.81143249
-87.58750992,41.81048222
-87.59434599,41.80317775
-87.60113615,41.80995193
-87.60562499,41.80609083
-87.59907857,41.80639461
-87.60115888,41.8145638
-87.60513757,41.81496276
-87.58296848,41.80437081
-87.60253435,41.81441406
-87.59499075,41.80639143
-87.60608299,41.80829925
-87.5868266,41.80924847
-87.59597853,41.81445546
-87.60317389,41.80711964
-87.59009525,41.80303948
-87.59446266,41.8145416
-87.60297692,41.81506121
-87.59153589,41.80887854
-87.6007844,41.81215123
-87.60202228,41.81506981
-87.59564422,41.80468678
-87.58642224,41.8077098
-87.59180711,41.81414329
-87.60164064,41.81169279
-87.59843003,41.81448577
-87.60432849,41.81392463
-87.58916199,41.81112602
-87.60249339,41.81333898
-87.60422138,41.81362808
-87.59243636,41.80790226
-87.60369783,41.8077286
-87.6053423,41.80955704
-87.59054271,41.80461984
-87.59428907,41.80730927
-87.6758852,41.98248519
-87.69787977,41.97907807
-87.68864648,41.99006001
-87.68834447,41.97876713
-87.69327268,41.97637364
-87.69731983,41.96978937
-87.68750279,41.97074666
-87.67646748,41.97405991
-87.68293788,41.98438103
-87.67831384,41.97350849
-87.68865213,41.9659994
-87.68834277,41.98790141
-87.67726558,41.96597763
-87.67806699,41.98497112
-87.69225578,41.97886341
-87.68843762,41.987757
-87.682169,41.97868324
-87.68923873,41.98044614
-87.67848558,41.97556654
-87.69135435,41.96748061
-87.70328032,41.98081782
-87.68866143,41.96254762
-87.68675627,41.97221245
-87.69544077,41.96940483
-87.68899814,41.97819944
-87.69648294,41.97327633
-87.69906493,41.97422071
-87.68183374,41.96581991
-87.69183489,41.96955184
-87.68252029,41.97398417
-87.69865922,41.96870897
-87.69327389,41.962847
-87.69722628,41.9707755
-87.69272877,41.98106945
-87.67714286,41.96330547
-87.69005365,41.98310922
-87.6753995,41.98734432
-87.68108731,41.97104823
-87.69732787,41.97300672
-87.6926467,41.98031847
-87.69737299,41.96587954
-87.69720086,41.97495069
-87.68540293,41.97279787
-87.68646577,41.97940411
-87.67562207,41.97049674
-87.68235439,41.98088226
-87.67870636,41.96893168
-87.69308764,41.98239482
-87.68390039,41.96360195
-87.67548455,41.98984379
-87.6838896,41.9740977
-87.69688859,41.97966591
-87.67923681,41.96461459
-87.67967771,41.96624594
-87.68380626,41.98287992
-87.67497406,41.98445385
-87.68192046,41.97954387
-87.68469775,41.98854517
-87.68352677,41.98931274
-87.69539392,41.97581934
-87.68650228,41.96346158
-87.68160443,41.96243745
-87.67691452,41.97660433
-87.68820788,41.98120402
-87.68352766,41.98565921
-87.68395892,41.98262722
-87.68076684,41.97081185
-87.69901243,41.97821764
-87.69328227,41.96651654
-87.67465844,41.98327089
-87.68019505,41.97241001
-87.68411347,41.96514758
-87.68983865,41.97992589
-87.69662222,41.97222215
-87.6769524,41.96657457
-87.68902774,41.97099839
-87.69878641,41.98178507
-87.68273333,41.97965655
-87.6834359,41.98748993
-87.69778806,41.96958095
-87.67556562,41.96784838
-87.70416918,41.98276916
-87.68525443,41.97146351
-87.70000073,41.97936195
-87.68557729,41.98119706
-87.70019982,41.9730644
-87.67975564,41.98315188
-87.68936748,41.96252351
-87.68540396,41.9747649
-87.68619726,41.9777711
-87.68008729,41.98161892
-87.68758242,41.9745291
-87.62128005,41.8002075
-87.62464188,41.7848751
-87.6168501,41.79912732
-87.62478971,41.79587185
-87.61684481,41.8012141
-87.614258,41.80044428
-87.62284249,41.78391767
-87.61251555,41.79247446
-87.60923197,41.79649928
-87.6210809,41.78243688
-87.62653225,41.79561445
-87.61052283,41.79290569
-87.62569622,41.80140288
-87.62708405,41.79238295
-87.62199718,41.7820289
-87.61421934,41.79303574
-87.608476,41.79896167
-87.60788333,41.79762615
-87.6156732,41.79763863
-87.61505932,41.79979444
-87.61904616,41.79732083
-87.60817495,41.78808997
-87.61319228,41.79081146
-87.62611831,41.78412814
-87.61726733,41.78160265
-87.62688312,41.79188149
-87.61022463,41.7978944
-87.62522878,41.80102186
-87.61583977,41.79316913
-87.61769961,41.79064317
-87.61232607,41.79388346
-87.61942837,41.78615942
-87.60763481,41.80205966
-87.61193974,41.79147083
-87.62112598,41.78473639
-87.61131511,41.79217077
